lat,lon,location,mindist,mindrive,time
42.555534,-93.0529775,Ackley,10.56,30.535,21.716666666666665
41.3669372,-93.472713099999993,Ackworth,16.72,26.267,19.8
41.50043,-94.6433504,Adair,0.87,21.479,15.566666666666666
41.6144325,-94.017453,Adel,8.22,17.221,11.833333333333334
41.0284183,-94.1975786,Afton,33.85,40.416,28.233333333333334
40.996114,-92.3072825,Agency,0.75,13.352,10.9
41.2875208,-91.5515505,Ainsworth,1.55,5.115,6.233333333333333
42.8288818,-96.5594773,Akron,18.99,41.987,24.816666666666666
42.7778617,-94.949783300000007,Albert City,36.03,51.479,35.55
41.0300078,-92.811307,Albia,20.73,30.854,24.45
42.1123909,-92.9900403,Albion,11.7,16.033,11.8
42.1483285,-91.6185065,Alburnett,8.97,28.004,22.4
42.5202571,-93.3760389,Alden,8.06,27.28,19.866666666666667
42.8058039,-93.4765943,Alexander,9.08,15.968,11.716666666666667
43.0699663,-94.233019,Algona,66.38,86.476,61.583333333333336
41.8199875,-93.611607,Alleman,4.31,18.688,12.85
40.7063539,-93.365383,Allerton,33.55,37.977,28.466666666666665
42.7535847,-92.7952244,Allison,21.33,30.124,23.833333333333332
42.6749812,-95.3041656,Alta,25.61,34.376,25.416666666666668
43.1985819,-92.4171216,Alta Vista,14.68,23.481,16.816666666666666
42.9874869,-96.0105735,Alton,1.49,7.015,5.983333333333333
41.6435514,-93.4750836,Altoona,2.36,6.121,8.3
43.3420659,-96.3022407,Alvord,29.9,57.293,39.61666666666667
42.0307812,-93.6319131,Ames,3.05,7.309,11.316666666666666
42.1083371,-91.2851594,Anamosa,1.49,2.925,4.5
41.9791933,-90.251796100000007,Andover,19.89,28.517,21.883333333333333
42.1536292,-90.5923542,Andrew,11.58,14.092,10.833333333333334
41.4438761,-94.764146,Anita,5.91,24.702,17.433333333333334
41.7317884,-93.6001278,Ankeny,1.93,8.456,8.1
42.3883232,-95.8666772,Anthon,35.49,66.395,43.96666666666667
42.5820329,-92.8845695,Aplington,13.48,34.557,24.95
42.0872073,-95.0461023,Arcadia,41.42,49.006,38.05
43.1152567,-95.7458465,Archer,8.29,15.675,13.133333333333333
42.833027800000004,-93.0054745,Aredale,28.71,45.513,32.333333333333336
41.9461666,-95.4594338,Arion,49.81,72.673,50
40.9494354,-94.2191198,Arispe,35.52,73.338,47.5
42.7491501,-91.6712663,Arlington,31.84,49.837,33.46666666666667
43.3960697,-94.4783082,Armstrong,31.54,37.573,29.033333333333335
43.3727408,-95.1238841,Arnolds Park,29.57,40.526,29
42.3357283,-95.3474528,Arthur,22.02,35.168,25.85
42.5144462,-90.751516,Asbury,5.37,7.596,10.133333333333333
43.3121952,-95.788072,Ashton,8.26,8.995,7.25
41.911931,-95.135549,Aspinwall,46.15,61.468,46.583333333333336
41.5711357,-91.1659887,Atalissa,8.38,26.829,20.233333333333334
41.9969436,-91.8621262,Atkins,6.85,9.35,8.283333333333333
41.4036007,-95.0138776,Atlantic,10.42,17.588,13.95
42.2513724,-94.8777638,Auburn,23.28,31.073,21.35
41.7180421,-94.9324868,Audubon,24.58,39.004,25.933333333333334
42.71276,-95.4366701,Aurelia,35.3,46.235,33.86666666666667
42.618873,-91.7284957,Aurora,17.56,31.885,21.75
41.4766571,-95.3380549,Avoca,2.39,20.59,14.3
43.0391346,-94.8327618,Ayrshire,65.78,74.903,51.63333333333333
42.6144147,-94.14607,Badger,18.31,31.986,23.766666666666666
41.8460964,-94.4299694,Bagley,32.77,34.243,23.6
42.0741832,-90.8415301,Baldwin,13.07,20.189,14.483333333333333
42.6380516,-90.868739,Balltown,21.75,29.676,30.716666666666665
43.2927386,-94.2180192,Bancroft,41.59,61.473,44.6
42.5186098,-90.9612418,Bankston,9,17.722,14.216666666666667
41.5083371,-92.4682418,Barnes City,20.85,34.484,24.3
42.5085843,-94.3652468,Barnum,8.64,15.253,12.483333333333333
43.062196,-92.5168492,Bassett,12.08,17.907,18.266666666666666
40.9942123,-92.1673287,Batavia,1.14,7.622,10.733333333333333
42.315544,-95.5986135,Battle Creek,40.49,56.949,40.46666666666667
41.8260998,-93.1515905,Baxter,15.15,28.895,20.25
41.85193,-94.5583076,Bayard,39.71,57.493,41.88333333333333
41.2765637,-92.6815709,Beacon,1.64,10.502,10.216666666666667
40.8077725,-94.0505057,Beaconsfield,18.68,37.123,28.083333333333332
42.2197079,-92.8235341,Beaman,23.44,29.55,25.6
42.0383148,-94.1421817,Beaver,8.84,9.766,7.583333333333333
40.666932,-94.721358,Bedford,66.72,95.281,68.41666666666667
41.8955529,-92.2757404,Belle Plaine,22.18,42.282,28.716666666666665
42.2588936,-90.4257531,Bellevue,23.72,65.965,49.583333333333336
42.84608,-93.6140991,Belmond,20.85,32.096,23.533333333333335
41.7400706,-90.9738473,Bennett,12.53,26.091,18.3
40.7033242,-94.3582909,Benton,38.23,77.365,54.53333333333333
41.9449834,-94.1146804,Berkley,11.45,18.336,13.483333333333333
42.3120897,-90.8302883,Bernard,13.11,15.399,10.033333333333333
41.9497259,-91.5354538,Bertram,2.26,10.182,7.683333333333334
41.56085,-90.48344,Bettendorf,3.26,6.673,8.016666666666667
41.3605472,-93.7907776,Bevington,0.94,16.038,10.45
40.8789129,-91.9471165,Birmingham,11.76,21.038,14.566666666666666
