"","city","n","lat","lon"
"1","Ackley",19,42.555534,-93.0529775
"2","Ackworth",6,41.3669372,-93.4727131
"3","Agency",7,40.996114,-92.3072825
"4","Ainsworth",9,41.2875208,-91.5515505
"5","Akron",7,42.8288818,-96.5594773
"6","Albia",18,41.0300078,-92.811307
"7","Albion",9,42.1123909,-92.9900403
"8","Alburnett",10,42.1483285,-91.6185065
"9","Alden",9,42.5202571,-93.3760389
"10","Algona",26,43.0699663,-94.233019
"11","Alleman",6,41.8199875,-93.611607
"12","Allison",13,42.7535847,-92.7952244
"13","Alta",15,42.6749812,-95.3041656
"14","Alton",20,42.9874869,-96.0105735
"15","Altoona",44,41.6435514,-93.4750836
"16","Ames",51,42.0307812,-93.6319131
"17","Anamosa",27,42.1083371,-91.2851594
"18","Andrew",7,42.1536292,-90.5923542
"19","Anita",13,41.4438761,-94.764146
"20","Ankeny",46,41.7317884,-93.6001278
"21","Aplington",10,42.5820329,-92.8845695
"22","Arion",5,41.9461666,-95.4594338
"23","Arlington",5,42.7491501,-91.6712663
"24","Armstrong",11,43.3960697,-94.4783082
"25","Arnolds Park",41,43.3727408,-95.1238841
"26","Asbury",31,42.5144462,-90.751516
"27","Atkins",15,41.9969436,-91.8621262
"28","Atlantic",16,41.4036007,-95.0138776
"29","Audubon",13,41.7180421,-94.9324868
"30","Aurelia",5,42.71276,-95.4366701
"31","Aurora",5,42.618873,-91.7284957
"32","Avoca",17,41.4766571,-95.3380549
"33","Badger",7,42.6144147,-94.14607
"34","Baldwin",5,42.0741832,-90.8415301
"35","Bancroft",7,43.2927386,-94.2180192
"36","Batavia",5,40.9942123,-92.1673287
"37","Battle Creek",5,42.315544,-95.5986135
"38","Baxter",8,41.8260998,-93.1515905
"39","Bayard",5,41.85193,-94.5583076
"40","Beacon",24,41.2765637,-92.6815709
"41","Beaman",12,42.2197079,-92.8235341
"42","Bedford",13,40.666932,-94.721358
"43","Belle Plaine",6,41.8955529,-92.2757404
"44","Bellevue",16,42.2588936,-90.4257531
"45","Belmond",14,42.84608,-93.6140991
"46","Bertram",19,41.9497259,-91.5354538
"47","Bettendorf",44,41.56085,-90.48344
"48","Bevington",13,41.3605472,-93.7907776
"49","Birmingham",6,40.8789129,-91.9471165
"50","Blairstown",7,41.9086563,-92.0845119
"51","Bloomfield",13,40.7516884,-92.4149074
"52","Blue Grass",17,41.5089194,-90.7659767
"53","Bonaparte",6,40.6980874,-91.8032228
"54","Bondurant",31,41.7019329,-93.4607681
"55","Boone",23,42.0597047,-93.8802273
"56","Boyden",7,43.1910906,-96.005853
"57","Braddyville",5,40.5788801,-95.0299764
"58","Brayton",5,41.5444325,-94.9241522
"59","Breda",6,42.1816509,-94.9769338
"60","Brighton",11,41.1747394,-91.8196149
"61","Britt",17,43.0977399,-93.8018875
"62","Brooklyn",8,41.7315717,-92.4453638
"63","Buffalo",14,41.4555873,-90.7209746
"64","Burlington",38,40.8076529,-91.1128901
"65","Calamus",8,41.8258585,-90.7581987
"66","Callender",5,42.3616978,-94.2952865
"67","Calmar",16,43.1835847,-91.8640482
"68","Camanche",35,41.7853085,-90.2529064
"69","Cambridge",14,41.8983187,-93.5291019
"70","Cantril",5,40.6441959,-92.069899
"71","Carlisle",20,41.4986013,-93.4835466
"72","Carroll",28,42.0655986,-94.8672793
"73","Carson",19,41.2366607,-95.4180561
"74","Carter Lake",40,41.2905534,-95.9180689
"75","Cascade",18,42.2986159,-91.0148618
"76","Casey",10,41.5047095,-94.5183037
"77","Cedar Falls",37,42.5348993,-92.4453161
"78","Cedar Rapids",15,41.9778795,-91.6656232
"79","Center Point",19,42.1908265,-91.7851772
"80","Centerville",35,40.7290565,-92.8738196
"81","Central City",17,42.2038829,-91.5240561
"82","Centralia",7,42.4722244,-90.8370738
"83","Chariton",19,41.0199996,-93.3140985
"84","Charles City",32,43.0663612,-92.6724112
"85","Cherokee",9,42.7496413,-95.5515431
"86","Clarence",10,41.888907,-91.0565423
"87","Clarinda",25,40.7419352,-95.038313
"88","Clarion",19,42.7316387,-93.732992
"89","Clarksville",7,42.7847,-92.6676907
"90","Clayton",24,42.9038759,-91.1473518
"91","Clear Lake",40,43.1435564,-93.3788108
"92","Clermont",8,43.0035912,-91.652374
"93","Clinton",26,41.8444735,-90.1887379
"94","Clive",43,41.6060873,-93.77236
"95","Coggon",13,42.2808248,-91.5304412
"96","Colfax",10,41.6770762,-93.2451249
"97","Colo",16,42.0177653,-93.3152072
"98","Columbus City",8,41.2586363,-91.3743221
"99","Columbus Junction",21,41.2786364,-91.3598775
"100","Conrad",8,42.2247077,-92.8746455
"101","Coon Rapids",5,41.8708192,-94.6774786
"102","Coppock",10,41.1622416,-91.7112781
"103","Coralville",48,41.6822756,-91.5960643
"104","Corning",17,40.9869306,-94.7335843
"105","Correctionville",9,42.4749887,-95.785565
"106","Corydon",14,40.7569499,-93.3188229
"107","Coulter",8,42.7338336,-93.3698768
"108","Council Bluffs",33,41.2619444,-95.8608333
"109","Crescent",18,41.364996,-95.8580668
"110","Cresco",27,43.3813568,-92.1140547
"111","Creston",7,41.0586002,-94.3613474
"112","Cumming",17,41.4833235,-93.7624442
"113","Cylinder",5,43.0886573,-94.5508866
"114","Dakota City",17,42.7221935,-94.1971836
"115","Dallas Center",13,41.6843456,-93.9611859
"116","Danville",8,40.8643403,-91.3146139
"117","Davenport",36,41.5236437,-90.5776367
"118","Davis City",5,40.6391684,-93.8116131
"119","De Soto",19,41.5315745,-94.0077785
"120","De Witt",29,41.8239952,-90.5389662
"121","Decatur City",7,40.7419443,-93.8338346
"122","Decorah",24,43.3033056,-91.7857092
"123","Delaware",5,42.4752682,-91.3454214
"124","Denison",30,42.024988,-95.3588867
"125","Denver",10,42.6713718,-92.3374045
"126","Dexter",13,41.5183216,-94.2263482
"127","Diagonal",5,40.8094349,-94.3421793
"128","Dike",10,42.4641498,-92.6282497
"129","Dixon",14,41.7428049,-90.7823673
"130","Donahue",5,41.6947513,-90.675419
"131","Donnellson",10,40.6428152,-91.5646028
"132","Doon",8,43.2794231,-96.2328025
"133","Dows",10,42.656564,-93.5010558
"134","Drakesville",9,40.7983533,-92.4815754
"135","Dubuque",45,42.5005583,-90.6645718
"136","Duncombe",5,42.4703633,-93.9932858
"137","Dunkerton",6,42.5699952,-92.1609371
"138","Dunlap",12,41.8543292,-95.6019662
"139","Durango",9,42.5602775,-90.7756829
"140","Durant",12,41.5997498,-90.9107037
"141","Dyersville",12,42.4836415,-91.1140899
"142","Dysart",6,42.171659,-92.3062978
"143","Eagle Grove",6,42.6641396,-93.9044473
"144","Earlham",11,41.4915674,-94.1229834
"145","Earlville",7,42.4808256,-91.2709737
"146","Eddyville",15,41.1605646,-92.6313031
"147","Edgewood",15,42.6444313,-91.4012515
"148","Eldon",8,40.9186301,-92.2229585
"149","Eldora",5,42.3680382,-93.1057576
"150","Eldridge",26,41.6580864,-90.5845822
"151","Elgin",13,42.9574811,-91.6307065
"152","Elk Horn",7,41.591655,-95.0599904
"153","Elk Run Heights",35,42.4669324,-92.256572
"154","Elkader",18,42.8538739,-91.4054159
"155","Elkhart",13,41.7916546,-93.5221591
"156","Ellsworth",15,42.3124934,-93.5787757
"157","Ely",14,41.8736182,-91.585175
"158","Emerson",10,41.0172179,-95.4022179
"159","Emmetsburg",30,43.1127427,-94.6830357
"160","Epworth",7,42.4450016,-90.9320766
"161","Estherville",9,43.4013478,-94.8391532
"162","Evansdale",44,42.4691543,-92.281017
"163","Exira",5,41.591156,-94.8763141
"164","Fairbank",13,42.6391512,-92.0471199
"165","Fairfax",10,41.9194471,-91.7810132
"166","Fairfield",32,41.0076114,-91.9636914
"167","Farley",11,42.4444448,-91.0051339
"168","Farmington",13,40.6403124,-91.7429429
"169","Fayette",5,42.8419255,-91.8021071
"170","Floyd",15,43.1277502,-92.7363031
"171","Forest City",27,43.2624685,-93.6371937
"172","Fort Dodge",14,42.4974694,-94.1680158
"173","Fort Madison",35,40.6297634,-91.314535
"174","Fostoria",6,43.2421877,-95.1555519
"175","Fraser",8,42.1271312,-93.9698481
"176","Fredericksburg",8,42.9652547,-92.1996196
"177","Fredonia",20,41.2846047,-91.3386762
"178","Fremont",9,41.2125116,-92.4354648
"179","Fruitland",19,41.3561152,-91.1287769
"180","Garnavillo",5,42.8685981,-91.2359644
"181","Garner",22,43.1023343,-93.6020858
"182","Garwin",5,42.0935999,-92.6757523
"183","George",8,43.3438624,-96.0022431
"184","Gilbert",31,42.1069288,-93.6496628
"185","Gilbertville",11,42.4161001,-92.2149046
"186","Gilman",11,41.8788799,-92.7893617
"187","Gladbrook",8,42.1877647,-92.715199
"188","Glenwood",23,41.0469437,-95.7425056
"189","Glidden",7,42.0569297,-94.72887
"190","Goldfield",10,42.7349711,-93.9149462
"191","Goodell",5,42.9230219,-93.6163218
"192","Goose Lake",6,41.9675262,-90.3829093
"193","Gowrie",13,42.2806289,-94.2907762
"194","Graettinger",5,43.237733,-94.751303
"195","Graf",8,42.4930565,-90.8712405
"196","Grand Junction",12,42.0313859,-94.2371186
"197","Grandview",6,41.2758617,-91.1884837
"198","Granger",26,41.7610984,-93.8243923
"199","Granville",6,42.9855402,-95.8736256
"200","Greene",5,42.8958066,-92.8024158
"201","Greenfield",16,41.3052657,-94.4613543
"202","Grimes",42,41.6883646,-93.7925199
"203","Grinnell",36,41.7434092,-92.7232456
"204","Griswold",6,41.234991,-95.1374929
"205","Grundy Center",12,42.3616501,-92.7685327
"206","Guernsey",5,41.6486132,-92.342684
"207","Guthrie Center",18,41.6772087,-94.5033044
"208","Guttenberg",11,42.7899897,-91.1029068
"209","Hamburg",14,40.6044458,-95.6577711
"210","Hampton",7,42.7425009,-93.2103402
"211","Harlan",20,41.653044,-95.3255541
"212","Harpers Ferry",14,43.2005358,-91.1531852
"213","Hartford",9,41.4594355,-93.4049333
"214","Hartley",5,43.1802719,-95.4770511
"215","Hawarden",9,42.9963772,-96.4891976
"216","Hawkeye",6,42.9385894,-91.9501687
"217","Hazleton",14,42.6174483,-91.9056039
"218","Hedrick",6,41.1725134,-92.3087945
