city,medianincome,pop,popwhite,pophisp
Ackley,44063,1706,1667,73
Ackworth,4e4,40,40,0
Adair,48188,854,836,25
Adel,56319,4055,4019,143
Afton,42137,970,955,18
Agency,37857,655,650,3
Ainsworth,42212,568,552,213
Akron,41161,1454,1454,56
Albert City,44342,631,602,11
Albia,44230,3799,3693,1
Albion,53750,468,468,7
Alburnett,66875,607,607,0
Alden,48173,803,743,60
Alexander,39375,157,155,0
Algona,50512,5494,5452,87
Alleman,81818,524,520,7
Allerton,39688,536,490,0
Allison,52750,1160,1106,29
Alta,46458,2056,1882,271
Alta Vista,4e4,288,286,1
Alton,62232,1285,1186,133
Altoona,69748,15808,15579,648
Alvord,53750,231,212,23
Ames,41616,62815,54484,1899
Anamosa,41092,5518,5003,183
Andover,54063,88,88,6
Andrew,44583,441,435,0
Anita,40429,954,954,28
Ankeny,75465,51489,49574,1076
Anthon,37159,728,712,9
Aplington,51838,1152,1152,4
Arcadia,54010,512,510,0
Archer,46667,167,149,41
Aredale,25e3,53,53,0
Arion,40750,185,185,26
Arispe,36e3,63,63,0
Arlington,41500,520,516,0
Armstrong,47e3,918,915,10
Arnolds Park,46518,1128,1105,48
Arthur,40833,210,206,2
Asbury,89559,5014,4677,129
Ashton,46250,435,430,6
Aspinwall,57500,18,18,0
Atalissa,57500,327,316,26
Atkins,84917,1839,1821,9
Atlantic,37397,6929,6776,272
Auburn,38021,278,276,0
Audubon,37983,2054,2005,29
Aurelia,50556,1002,995,45
Aurora,47321,233,200,2
Avoca,50735,1378,1378,24
Ayrshire,28750,152,152,0
Badger,60536,572,565,4
Bagley,45556,330,325,21
Baldwin,33125,110,110,0
Balltown,55938,68,68,0
Bancroft,44375,747,717,18
Bankston,113393,79,79,0
Barnes City,37500,286,280,2
Barnum,53750,271,271,59
Bassett,47813,69,69,0
Batavia,39808,669,669,16
Battle Creek,38056,701,690,0
Baxter,53500,929,919,0
Bayard,47721,470,467,0
Beacon,32917,573,569,0
Beaconsfield,NA,25,25,0
Beaman,53750,234,231,3
Beaver,51250,125,125,0
Bedford,34750,1491,1440,73
Belle Plaine,39732,2528,2525,112
Bellevue,44089,2134,2131,45
Belmond,38511,2438,2335,339
Bennett,50556,384,384,5
Benton,57969,43,43,0
Berkley,38750,22,22,0
Bernard,53750,123,123,1
Bertram,93750,394,390,18
Bettendorf,75373,34663,31179,1223
Bevington,39167,43,42,0
Birmingham,40833,545,537,17
Blairsburg,52500,112,112,0
Blairstown,50729,757,714,98
Blakesburg,32500,291,291,0
Blanchard,59375,36,36,0
Blencoe,39792,239,239,0
Blockton,30938,157,157,3
Bloomfield,42234,2615,2590,95
Blue Grass,64185,1439,1421,40
Bode,41250,285,285,30
Bonaparte,30909,398,398,0
Bondurant,63542,4555,4465,260
Boone,46486,12631,12307,325
Bouton,40625,190,184,7
Boxholm,33750,230,227,0
Boyden,59250,752,738,117
Braddyville,50500,154,142,0
Bradgate,35e3,67,67,3
Brandon,43750,312,312,8
Brayton,37321,132,132,0
Breda,59375,478,478,9
Bridgewater,44107,141,141,2
Brighton,39107,606,605,14
Bristow,37188,183,180,0
Britt,44432,1966,1915,82
Bronson,68750,339,327,3
Brooklyn,47284,1476,1471,35
Brunsville,56250,93,92,1
Buck Grove,3e4,21,21,0
Buckeye,41786,88,88,0
Buffalo,44922,1217,1205,57
Buffalo Center,41087,886,878,0
Burlington,39586,25537,23264,879
Burt,39333,550,533,2
Bussey,36250,482,479,3
Calamus,55e3,422,414,3
Callender,45313,425,422,3
Calmar,44297,1049,1031,21
Calumet,59063,208,204,4
Camanche,56318,4387,4387,219
Cambridge,54196,806,794,51
Cantril,34583,227,224,0
Carbon,28750,27,25,2
Carlisle,57794,4120,4039,14
Carpenter,NA,117,112,0
Carroll,43078,10020,9693,280
Carson,47039,845,817,0
Carter Lake,48333,3771,3612,325
Cascade,47344,1984,1984,148
Casey,4e4,394,387,26
Castalia,45357,170,170,0
Castana,22143,105,105,0
Cedar Falls,55808,40439,38363,590
Cedar Rapids,53581,128829,115985,4649
Center Junction,55e3,93,93,0
Center Point,79545,2478,2420,19
Centerville,31270,5431,5341,140
Central City,54453,1373,1352,6
Centralia,50938,133,133,0
Chariton,33167,4240,4202,0
Charles City,39053,7500,7042,234
Charlotte,47955,398,391,9
Charter Oak,49167,601,601,61
Chatsworth,NA,69,68,0
Chelsea,41e3,204,170,94
Cherokee,40811,5147,5057,217
Chester,37813,241,232,0
Chillicothe,45536,102,99,0
Churdan,38125,370,364,17
Cincinnati,33500,329,327,2
Clare,54583,232,232,4
Clarence,44196,945,943,18
Clarinda,42551,5476,5071,114
Clarion,37583,2788,2516,346
Clarksville,43750,1335,1317,0
Clayton,48750,42,42,0
Clear Lake,49219,7675,7435,308
Clearfield,32266,378,372,26
Cleghorn,46e3,218,218,7
Clemons,58750,125,125,3
Clermont,42813,653,653,4
Clinton,41813,26413,24420,776
Clio,42083,114,114,9
Clive,93160,16634,15244,1287
Clutier,38125,205,204,2
Coburg,43125,47,47,0
Coggon,51719,730,730,2
Coin,43125,213,213,0
Colesburg,53594,402,399,0
Colfax,44706,1848,1831,38
College Springs,31786,223,223,0
Collins,55e3,462,462,0
Colo,49688,884,882,18
Columbus City,56103,405,379,215
Columbus Junction,49167,2120,1568,1004
Colwell,46250,83,83,2
Conesville,42692,534,480,354
Conrad,45313,1099,1091,31
Conway,35625,16,16,0
Coon Rapids,44674,1395,1352,23
Coppock,29531,69,69,0
Coralville,58744,20038,15836,1272
Corning,41849,1570,1554,20
Correctionville,40119,806,799,32
Corwith,37857,234,233,2
Corydon,43646,1431,1404,0
Cotter,55500,48,48,0
Coulter,51250,276,254,43
Council Bluffs,45551,62309,59322,5791
Craig,78125,118,118,0
Crawfordsville,41719,287,285,42
Crescent,81731,542,542,2
Cresco,47426,3865,3851,120
Creston,40782,7886,7698,240
Cromwell,62500,93,93,0
Crystal Lake,34432,185,184,2
Cumberland,26953,330,330,0
Cumming,105e3,435,434,27
Curlew,31429,71,71,0
Cushing,36667,195,194,0
Cylinder,54750,72,72,0
Dakota City,42708,781,778,28
Dallas Center,69265,1734,1731,38
Dana,30694,69,69,9
Danbury,43906,357,350,0
Danville,50694,1062,1051,23
Davenport,47343,101863,86471,8445
Davis City,26875,252,245,0
Dawson,35938,197,137,74
Dayton,41406,785,779,2
De Soto,56250,1159,1157,2
De Witt,58750,5283,5187,127
Decatur City,41250,202,202,5
Decorah,50388,8009,7732,195
Dedham,55e3,242,242,1
Deep River,38750,302,293,9
Defiance,43500,228,221,21
Delaware,48438,138,138,0
Delhi,55e3,412,410,2
Delmar,49762,497,478,16
Deloit,33500,395,328,134
Delphos,11e3,20,20,0
Delta,23750,260,260,15
Denison,44622,8383,7641,3832
Denver,55500,1789,1762,0
Derby,48750,132,132,0
Des Moines,46290,208020,167177,25864
Dexter,54688,911,908,0
Diagonal,37222,332,316,13
Dickens,45625,188,188,1
Dike,67500,1376,1359,30
Dixon,44688,225,225,0
Dolliver,49583,64,64,6
Donahue,78750,366,366,2
Donnellson,37656,856,856,0
Doon,52708,538,534,7
Dougherty,49375,91,91,0
Dow City,36750,514,484,42
Dows,36875,453,438,20
Drakesville,30625,177,177,0
Dubuque,47450,58409,55044,1410
Dumont,47917,734,730,31
Duncombe,37188,363,363,1
Dundee,42083,165,165,0
Dunkerton,55938,879,855,4
Dunlap,5e4,1252,1216,11
Durango,35625,14,13,0
Durant,60625,1983,1972,54
Dyersville,49392,4214,4206,61
Dysart,56875,1609,1583,12
Eagle Grove,39654,3483,3394,459
Earlham,59455,1752,1709,7
Earling,44e3,476,463,3
Earlville,59464,805,765,11
Early,4e4,683,655,21
East Peru,25e3,93,93,0
Eddyville,46518,1333,1323,53
Edgewood,48214,818,798,0
Elberon,53333,156,156,0
Eldon,33083,999,985,48
Eldora,46776,2717,2497,45
Eldridge,57750,6017,5831,127
Elgin,44779,785,781,0
Elk Horn,48e3,543,543,0
Elk Run Heights,52188,942,908,41
Elkader,46136,1252,1234,0
Elkhart,51750,653,645,15
Elkport,30250,30,30,0
Elliott,45250,417,417,1
Ellston,63750,23,23,0
Ellsworth,53393,596,530,64
Elma,38889,654,654,21
Ely,96667,1994,1958,43
Emerson,51645,478,456,0
Emmetsburg,41964,3817,3679,103
Epworth,70380,2057,2046,0
Essex,48500,924,916,4
Estherville,43536,6091,5897,847
Evansdale,43492,4777,4552,109
Everly,56250,564,562,6
Exira,36442,871,863,0
Exline,33333,135,134,1
Fairbank,58472,1109,1097,0
Fairfax,87548,2300,2261,24
Fairfield,37162,9739,8276,363
Farley,75583,1590,1590,11
Farmersburg,40938,264,261,1
Farmington,38056,783,750,3
Farnhamville,39375,337,337,5
