lat,lon,location
42.555534,-93.0529775,Ackley
41.3669372,-93.4727131,Ackworth
41.50043,-94.6433504,Adair
41.6144325,-94.017453,Adel
41.0284183,-94.1975786,Afton
40.996114,-92.3072825,Agency
41.2875208,-91.5515505,Ainsworth
42.8288818,-96.5594773,Akron
42.7778617,-94.9497833,Albert City
41.0300078,-92.811307,Albia
42.1123909,-92.9900403,Albion
42.1483285,-91.6185065,Alburnett
42.5202571,-93.3760389,Alden
42.8058039,-93.4765943,Alexander
43.0699663,-94.233019,Algona
41.8199875,-93.611607,Alleman
40.7063539,-93.365383,Allerton
42.7535847,-92.7952244,Allison
42.6749812,-95.3041656,Alta
43.1985819,-92.4171216,Alta Vista
42.9874869,-96.0105735,Alton
41.6435514,-93.4750836,Altoona
43.3420659,-96.3022407,Alvord
42.0307812,-93.6319131,Ames
42.1083371,-91.2851594,Anamosa
41.9791933,-90.2517961,Andover
42.1536292,-90.5923542,Andrew
41.4438761,-94.764146,Anita
41.7317884,-93.6001278,Ankeny
42.3883232,-95.8666772,Anthon
42.5820329,-92.8845695,Aplington
42.0872073,-95.0461023,Arcadia
43.1152567,-95.7458465,Archer
42.8330278,-93.0054745,Aredale
41.9461666,-95.4594338,Arion
40.9494354,-94.2191198,Arispe
42.7491501,-91.6712663,Arlington
43.3960697,-94.4783082,Armstrong
43.3727408,-95.1238841,Arnolds Park
42.3357283,-95.3474528,Arthur
42.5144462,-90.751516,Asbury
43.3121952,-95.788072,Ashton
41.911931,-95.135549,Aspinwall
41.5711357,-91.1659887,Atalissa
41.9969436,-91.8621262,Atkins
41.4036007,-95.0138776,Atlantic
42.2513724,-94.8777638,Auburn
41.7180421,-94.9324868,Audubon
42.71276,-95.4366701,Aurelia
42.618873,-91.7284957,Aurora
41.4766571,-95.3380549,Avoca
43.0391346,-94.8327618,Ayrshire
42.6144147,-94.14607,Badger
41.8460964,-94.4299694,Bagley
42.0741832,-90.8415301,Baldwin
42.6380516,-90.868739,Balltown
43.2927386,-94.2180192,Bancroft
42.5186098,-90.9612418,Bankston
41.5083371,-92.4682418,Barnes City
42.5085843,-94.3652468,Barnum
43.062196,-92.5168492,Bassett
40.9942123,-92.1673287,Batavia
42.315544,-95.5986135,Battle Creek
41.8260998,-93.1515905,Baxter
41.85193,-94.5583076,Bayard
41.2765637,-92.6815709,Beacon
40.8077725,-94.0505057,Beaconsfield
42.2197079,-92.8235341,Beaman
42.0383148,-94.1421817,Beaver
40.666932,-94.721358,Bedford
41.8955529,-92.2757404,Belle Plaine
42.2588936,-90.4257531,Bellevue
42.84608,-93.6140991,Belmond
41.7400706,-90.9738473,Bennett
40.7033242,-94.3582909,Benton
41.9449834,-94.1146804,Berkley
42.3120897,-90.8302883,Bernard
41.9497259,-91.5354538,Bertram
41.56085,-90.48344,Bettendorf
41.3605472,-93.7907776,Bevington
40.8789129,-91.9471165,Birmingham
42.4814442,-93.6430922,Blairsburg
41.9086563,-92.0845119,Blairstown
40.9614278,-92.6341184,Blakesburg
40.5791617,-95.2216466,Blanchard
41.9305435,-96.0819587,Blencoe
40.6155454,-94.4771826,Blockton
40.7516884,-92.4149074,Bloomfield
41.5089194,-90.7659767,Blue Grass
42.8683035,-94.2896879,Bode
40.6980874,-91.8032228,Bonaparte
41.7019329,-93.4607681,Bondurant
42.0597047,-93.8802273,Boone
41.8513741,-94.0091208,Bouton
42.1758111,-94.106069,Boxholm
43.1910906,-96.005853,Boyden
40.5788801,-95.0299764,Braddyville
42.8030275,-94.4180271,Bradgate
42.3144359,-92.0021228,Brandon
41.5444325,-94.9241522,Brayton
42.1816509,-94.9769338,Breda
41.2449872,-94.6688623,Bridgewater
41.1747394,-91.8196149,Brighton
42.7738635,-92.9074177,Bristow
43.0977399,-93.8018875,Britt
42.4108256,-96.2139129,Bronson
41.7315717,-92.4453638,Brooklyn
42.8097123,-96.2691912,Brunsville
41.9180436,-95.3961102,Buck Grove
42.4173398,-93.3756168,Buckeye
41.4555873,-90.7209746,Buffalo
43.3857909,-93.9466193,Buffalo Center
40.8076529,-91.1128901,Burlington
43.1971854,-94.217741,Burt
41.2066696,-92.8840881,Bussey
41.8258585,-90.7581987,Calamus
42.3616978,-94.2952865,Callender
43.1835847,-91.8640482,Calmar
42.9463676,-95.5500069,Calumet
41.7853085,-90.2529064,Camanche
41.8983187,-93.5291019,Cambridge
40.6441959,-92.069899,Cantril
41.0499871,-94.8233111,Carbon
41.4986013,-93.4835466,Carlisle
43.4149647,-93.0149196,Carpenter
42.0655986,-94.8672793,Carroll
41.2366607,-95.4180561,Carson
41.2905534,-95.9180689,Carter Lake
42.2986159,-91.0148618,Cascade
41.5047095,-94.5183037,Casey
43.1118201,-91.6763612,Castalia
42.0744332,-95.9086206,Castana
42.5348993,-92.4453161,Cedar Falls
41.9778795,-91.6656232,Cedar Rapids
42.1161202,-91.0870939,Center Junction
42.1908265,-91.7851772,Center Point
40.7290565,-92.8738196,Centerville
42.2038829,-91.5240561,Central City
42.4722244,-90.8370738,Centralia
41.0199996,-93.3140985,Chariton
43.0663612,-92.6724112,Charles City
41.9603038,-90.4651329,Charlotte
42.0683221,-95.5916693,Charter Oak
42.9162418,-96.5164815,Chatsworth
41.9203126,-92.3945866,Chelsea
42.7496413,-95.5515431,Cherokee
43.4910768,-92.360449,Chester
41.086327,-92.5287502,Chillicothe
42.1519262,-94.4744169,Churdan
