state,state.name,county.name,place,place.name,our.place.name
19,Iowa,"Franklin County, Hardin County",190,Ackley city,Ackley
19,Iowa,Warren County,235,Ackworth city,Ackworth
19,Iowa,"Adair County, Guthrie County",370,Adair city,Adair
19,Iowa,Dallas County,505,Adel city,Adel
19,Iowa,Union County,595,Afton city,Afton
19,Iowa,Wapello County,640,Agency city,Agency
19,Iowa,Washington County,730,Ainsworth city,Ainsworth
19,Iowa,Plymouth County,775,Akron city,Akron
19,Iowa,Buena Vista County,865,Albert City city,Albert City
19,Iowa,Monroe County,910,Albia city,Albia
19,Iowa,Marshall County,955,Albion city,Albion
19,Iowa,Linn County,1000,Alburnett city,Alburnett
19,Iowa,Hardin County,1045,Alden city,Alden
19,Iowa,Franklin County,1090,Alexander city,Alexander
19,Iowa,Kossuth County,1135,Algona city,Algona
19,Iowa,Polk County,1180,Alleman city,Alleman
19,Iowa,Wayne County,1270,Allerton city,Allerton
19,Iowa,Butler County,1315,Allison city,Allison
19,Iowa,Buena Vista County,1495,Alta city,Alta
19,Iowa,Chickasaw County,1540,Alta Vista city,Alta Vista
19,Iowa,Sioux County,1585,Alton city,Alton
19,Iowa,Polk County,1630,Altoona city,Altoona
19,Iowa,Lyon County,1675,Alvord city,Alvord
19,Iowa,Story County,1855,Ames city,Ames
19,Iowa,Jones County,1990,Anamosa city,Anamosa
19,Iowa,Clinton County,2080,Andover city,Andover
19,Iowa,Jackson County,2125,Andrew city,Andrew
19,Iowa,Cass County,2260,Anita city,Anita
19,Iowa,Polk County,2305,Ankeny city,Ankeny
19,Iowa,Woodbury County,2350,Anthon city,Anthon
19,Iowa,Butler County,2395,Aplington city,Aplington
19,Iowa,Carroll County,2485,Arcadia city,Arcadia
19,Iowa,O'Brien County,2530,Archer city,Archer
19,Iowa,Butler County,2620,Aredale city,Aredale
19,Iowa,Crawford County,2755,Arion city,Arion
19,Iowa,Union County,2800,Arispe city,Arispe
19,Iowa,Fayette County,2845,Arlington city,Arlington
19,Iowa,Emmet County,2935,Armstrong city,Armstrong
19,Iowa,Dickinson County,3025,Arnolds Park city,Arnolds Park
19,Iowa,Ida County,3115,Arthur city,Arthur
19,Iowa,Dubuque County,3160,Asbury city,Asbury
19,Iowa,Osceola County,3295,Ashton city,Ashton
19,Iowa,Crawford County,3340,Aspinwall city,Aspinwall
19,Iowa,Muscatine County,3385,Atalissa city,Atalissa
19,Iowa,Benton County,3475,Atkins city,Atkins
19,Iowa,Cass County,3520,Atlantic city,Atlantic
19,Iowa,Sac County,3610,Auburn city,Auburn
19,Iowa,Audubon County,3655,Audubon city,Audubon
19,Iowa,Cherokee County,3745,Aurelia city,Aurelia
19,Iowa,Buchanan County,3835,Aurora city,Aurora
19,Iowa,Pottawattamie County,3970,Avoca city,Avoca
19,Iowa,Palo Alto County,4105,Ayrshire city,Ayrshire
